AL,35803,9072 S. Cactus Road 
AL,36330,6 Orange St. 
AZ,85302,7314 Arch St. 
CA,91316,275 Maiden Street 
CA,91740,8949 N. Myrtle Ave. 
CA,91762,306 Prairie Dr. 
CA,93306,7270 San Pablo Drive 
CA,94580,16 Glendale St. 
CA,95050,889 Bay Meadows Drive 
CT,6360,519 Smith Avenue 
CT,6606,7913 Hartford St. 
CT,6790,8743 Smith Dr. 
DE,19701,10 Illinois Rd. 
FL,32127,7149 Prairie Drive 
FL,32707,8976 Canterbury St. 
FL,32708,7988 Indian Spring St. 
FL,32779,3 3rd St. 
FL,32904,8 North Catherine Lane 
FL,32958,7 S. Amherst Ave. 
FL,33060,42 8th Street 
FL,33404,507 East Stonybrook Ave. 
FL,33844,8431 Victoria Drive 
FL,34203,8248 Jones St. 
FL,34221,7339 SW. Cactus Street 
FL,34683,8598 Shub Farm Ave. 
FL,34787,96 2nd Lane 
FL,34997,5A Hamilton Drive 
GA,30043,9852 Ramblewood Avenue 
GA,30080,9778 Wall Rd. 
GA,30084,41 Roosevelt Lane 
GA,30117,8 Cross Street 
GA,30126,9600 John Dr. 
GA,30274,931 Gainsway St. 
GA,30281,7533 Cherry Hill Court 
GA,30294,716 Rockville Drive 
GA,30605,1 East Miles Dr. 
GA,30701,7915 South Country Club Dr. 
IA,50401,35 Miller Dr. 
IA,50613,9150 High Street 
IA,50701,730 Birchpond St. 
IL,60007,245 Jackson Lane 
IL,60016,41 Hilltop Avenue 
IL,60068,414 Pleasant Ave. 
IL,60076,25 Leatherwood St. 
IL,60115,8596 Hanover Street 
IL,60169,8068 N. Chestnut St. 
IL,60181,841 South Grove Ave. 
IL,60409,58 N. Saxton Ave. 
IL,60411,9584 Lexington Street 
IL,60435,11 Creek Avenue 
IL,60462,72 SE. Charles Street 
IL,60515,639 Nicolls St. 
IN,46060,810 Fawn Rd. 
IN,46077,9008 Sunset Lane 
IN,46304,8118 Columbia Court 
IN,46368,92 York Court 
IN,46514,2 West Lake St. 
IN,46544,319 Woodland Street 
IN,47274,8044 E. Mayflower Rd. 
IN,47302,8315 Helen St. 
KS,66801,204 Santa Clara St. 
KY,42001,44 Front Drive 
KY,42431,278 Westport Rd. 
MA,1810,8409 Marvon Street 
MA,1826,7968 Strawberry Drive 
MA,1845,10 Bayberry Ave. 
MA,1915,9177 4th Drive 
MA,1923,20 Pin Oak Street 
MA,2150,9072 Airport Avenue 
MA,2155,9 Golden Star Dr. 
MA,2760,8111 Vale St. 
MD,20707,788 Brandywine Ave. 
MD,20715,241 Monroe Avenue 
MD,20748,47 E. Silver Spear Street 
MD,20772,35 Oakwood Ave. 
MD,20886,93 S. Pumpkin Hill Ave. 
MD,20901,7063 Illinois Ave. 
MD,21075,669 W. Cardinal Ave. 
MD,21133,197 Sherman Ave. 
MD,21144,1 East Glen Ridge Street 
MD,21206,834 School Street 
MD,21221,27 Pin Oak St. 
MD,21222,8361 W. Berkshire Lane 
ME,4401,7599 Fairview Road 
MI,48067,504 Bridge Street 
MI,48127,26 Oakwood Street 
MI,48192,82 Canterbury Rd. 
MI,48237,546 Lilac Lane 
MI,48322,9796 Wagon St. 
MI,48430,9581 N. Water St. 
MI,49015,7059 Dunbar Court 
MI,49503,376 Sunset St. 
MN,55060,5 Southampton Lane 
MN,55303,22 Madison St. 
MN,55912,9286 Brookside St. 
MN,56001,7560 Rockledge Rd. 
MN,56560,9 Silver Spear Dr. 
MS,38801,615 Tarkiln Hill Ave. 
MS,39180,56 Greenrose Ave. 
NC,27405,4 Tanglewood Street 
NC,27511,376 Carson Ave. 
NC,27516,9876 Pendergast Road 
NC,27526,9499 Bald Hill St. 
NC,27893,21 Elm Street 
NC,28205,69 South Ridgewood Street 
NC,28601,782 Deerfield St. 
NC,28655,730 Peachtree Dr. 
ND,58078,19 E. Howard Dr. 
NH,3053,498 Bear Hill Road 
NH,3060,518 Clinton Lane 
NJ,7016,734 Sleepy Hollow Ave. 
NJ,7052,825 Laurel Circle 
NJ,7065,75 Miller Drive 
NJ,7093,514 Charles St. 
NJ,7103,31 Marvon St. 
NJ,7410,281 Green Street 
NJ,7424,9343 Main St. 
NJ,7430,543 Nicolls Street 
NJ,7728,98 Thomas St. 
NJ,8003,8857 Atlantic St. 
NJ,8080,7205 Summit Dr. 
NJ,8753,9184 Delaware St. 
NJ,8822,216 Marconi Drive 
NJ,8865,8178 County Street 
NY,10952,82 Rocky River Ave. 
NY,11040,9267 Glendale Dr. 
NY,11361,852 Old Court Rd. 
NY,11377,980 St Paul St. 
NY,11378,7774 Glenwood Drive 
NY,11412,921 Peachtree Drive 
NY,11414,715 S. 8th Dr. 
NY,11419,454 James Dr. 
NY,11432,8494 E. Sheffield St. 
NY,11572,56 Randall Mill Ave. 
NY,11704,77 Leatherwood Ave. 
NY,11735,22 Coffee Rd. 
NY,11746,9789 Maple Lane 
NY,12553,82 Military St. 
NY,13021,7998 South Morris Ave. 
NY,13027,8798 Ketch Harbour St. 
NY,13440,27 Hilltop Avenue 
NY,14043,7324 Arcadia Lane 
OH,43026,9300 Arnold Drive 
OH,43040,839 W. St Louis St. 
OH,43119,7444 Van Dyke Lane 
OH,43123,3 Heritage Drive 
OH,43147,8082 E. Wentworth St. 
OH,44012,98 W. Augusta St. 
OH,44240,33 Somerset Lane 
OH,44281,24 Riverview Street 
OH,44312,77 Talbot Drive 
OH,44512,7239 10th St. 
OH,44646,9191 West Rockledge St. 
OH,45039,7591 Edgewood St. 
OH,45140,55 Olive Lane 
OH,45365,340 Roehampton Drive 
PA,15102,378 Hillcrest Ave. 
PA,15601,641 Arcadia Street 
PA,15650,8993 Trout Ave. 
PA,17013,9317 Pine St. 
PA,17331,8398 Johnson Ave. 
PA,17543,152 Trenton Drive 
PA,18064,303 Green Ave. 
PA,18102,9757 Trenton St. 
PA,18944,6 Greystone Court 
PA,19355,36 Willow Court 
PA,19438,654 West Marlborough Avenue 
PA,19446,98 Piper Ave. 
RI,2860,923 Greenview Ave. 
RI,2893,9251 Constitution Lane 
RI,2904,9163 Kent Dr. 
RI,2920,598 Railroad Lane 
SC,29406,46 Cobblestone St. 
SC,29483,54 Littleton Ave. 
SC,29650,8446 East Alton Drive 
SC,29708,89 NE. Kent Court 
SD,57103,801 Bayport Rd. 
TN,37128,9692 NW. Westport Dr. 
TN,37601,9 Atlantic Street 
TX,75080,110 Mayflower St. 
TX,75604,63 North 53rd Street 
TX,77904,9031 North Surrey St. 
UT,84119,182 East Laurel Rd. 
UT,84404,73 Snake Hill Ave. 
VA,20147,7026 Ohio Street 
VA,20175,7431 Church Ave. 
VA,22801,531 West Tailwater St. 
VA,23601,3 Taylor St. 
VA,23693,359 Pierce Lane 
VA,23703,5 Bow Ridge Ave. 
VA,23860,416 4th St. 
VA,24073,872 Green Lane 
WA,98512,157 North Belmont St. 
WA,98837,10 Linda St. 
WI,53072,30 Broad Circle 
WI,53095,973 Rock Maple Lane 
WI,54115,7427 Cypress Avenue 
WI,54601,712 Glenridge Lane 
WI,54956,7669 Windsor Court 
WV,25801,183 Oklahoma St. 
